Date,XLE,XLF,XLU,XLI,XLK,XLV,XLY,IYR,AAPL,XLB,XLP,SPY,^DJI,NDX,guardian_headline_mean,guardian_body_mean,guardian_headline_median,guardian_body_median,guardian_headline_min,guardian_headline_max,guardian_body_min,guardian_body_max,Huff_headline_mean,Huff_body_mean,Huff_headline_median,Huff_body_median,Huff_headline_max,Huff_body_max,Huff_headline_min,Huff_body_min,NYT_headline_mean,NYT_headline_median,NYT_body_mean,NYT_body_median,NYT_headline_max,NYT_headline_min,NYT_body_max,NYT_body_min
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,-0.01,0.0,-0.0,-0.78,0.72,-1.0,1.0,-0.12,-0.06,0.0,0.0,0.74,0.3,-0.8,-0.67,-0.05,0.0,-0.03,0.0,0.88,-0.73,0.91,-0.96
2022-03-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2,-0.12,-0.15,-0.54,-0.93,0.79,-1.0,1.0,-0.44,-0.39,-0.46,-0.47,0.0,0.13,-0.76,-0.85,-0.09,0.0,0.02,0.0,0.84,-0.86,0.88,-0.91
2022-03-16,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.08,-0.16,0.0,-0.55,-0.82,0.69,-1.0,1.0,0.1,-0.09,0.0,-0.13,0.51,0.4,-0.25,-0.56,-0.06,0.0,-0.0,0.0,0.86,-0.8,0.88,-0.9
2022-03-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1,-0.24,0.0,-0.85,-0.83,0.77,-1.0,1.0,-0.2,-0.14,-0.03,-0.03,0.56,0.0,-0.9,-0.49,-0.02,0.0,-0.05,0.0,0.61,-0.84,0.82,-0.89
2022-03-18,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.09,-0.09,0.0,-0.31,-0.89,0.81,-1.0,1.0,-0.35,-0.3,-0.32,-0.22,-0.15,0.0,-0.6,-0.76,-0.06,0.0,-0.05,-0.08,0.83,-0.82,0.86,-0.97
2022-03-21,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.12,-0.12,0.0,-0.6,-0.91,0.72,-1.0,1.0,0.01,-0.13,0.03,-0.24,0.56,0.61,-0.57,-0.64,-0.08,0.0,0.05,0.0,0.83,-0.87,0.91,-0.96
2022-03-22,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.19,-0.07,-0.05,-0.26,-0.89,0.7,-1.0,1.0,-0.17,-0.35,-0.38,-0.38,0.42,0.2,-0.48,-0.9,0.01,0.0,-0.07,0.0,0.81,-0.84,0.88,-0.97
2022-03-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.08,0.0,0.5,-0.86,0.66,-1.0,1.0,0.27,-0.38,0.48,-0.3,0.7,0.0,-0.4,-0.74,0.0,0.0,0.04,0.0,0.79,-0.83,0.92,-0.88
2022-03-24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2,-0.1,-0.08,-0.71,-0.89,0.61,-1.0,1.0,0.11,-0.03,0.0,0.0,0.34,0.0,0.0,-0.08,0.03,0.0,0.05,0.0,0.84,-0.86,0.88,-0.94
2022-03-25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.12,-0.02,0.0,-0.14,-0.84,0.83,-1.0,1.0,0.08,0.16,0.14,0.37,0.56,0.69,-0.62,-0.76,-0.08,0.0,0.16,0.25,0.83,-0.81,0.92,-0.91
2022-03-28,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.16,-0.02,-0.14,-0.29,-0.89,0.73,-1.0,1.0,-0.03,0.57,-0.03,0.57,-0.03,0.57,-0.03,0.57,0.1,0.0,0.12,0.0,0.64,-0.94,0.84,-0.93
2022-03-29,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.07,-0.02,0.0,0.0,-0.91,0.76,-1.0,1.0,-0.2,-0.07,0.0,0.0,0.03,0.27,-0.62,-0.48,0.02,0.0,0.08,0.03,0.9,-0.83,0.95,-0.88
2022-03-30,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.15,-0.19,-0.1,-0.85,-0.87,0.64,-1.0,1.0,0.0,-0.51,0.0,-0.51,0.0,-0.51,0.0,-0.51,-0.06,0.0,0.03,0.0,0.84,-0.86,0.93,-0.89
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.02,0.0,0.26,-0.81,0.73,-1.0,1.0,-0.31,-0.19,-0.31,-0.19,0.0,0.32,-0.62,-0.69,0.02,0.0,-0.01,0.0,0.64,-0.86,0.9,-0.9
2022-04-01,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.12,-0.03,0.0,-0.15,-0.89,0.77,-1.0,1.0,-0.11,0.1,-0.11,0.1,0.0,0.72,-0.23,-0.51,-0.02,0.0,-0.08,-0.03,0.79,-0.83,0.93,-0.86
2022-04-04,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.13,-0.1,0.0,-0.71,-0.87,0.69,-1.0,1.0,-0.57,-0.56,-0.66,-0.75,-0.15,-0.08,-0.9,-0.84,0.1,0.0,0.15,0.19,0.72,-0.93,0.95,-0.9
2022-04-05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23,-0.2,-0.2,-0.86,-0.88,0.81,-1.0,1.0,0.0,0.19,0.0,0.19,0.0,0.37,0.0,0.0,0.0,0.0,0.06,0.0,0.8,-0.87,0.91,-0.95
2022-04-06,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.13,-0.16,0.0,-0.84,-0.88,0.67,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.08,0.0,0.93,-0.85,0.91,-0.91
2022-04-07,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.09,0.05,0.0,0.66,-0.87,0.77,-1.0,1.0,-0.2,-0.29,0.0,-0.53,0.0,0.25,-0.6,-0.6,-0.07,0.0,0.11,0.0,0.78,-0.87,0.89,-0.96
2022-04-08,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.2,-0.04,0.0,-0.35,-0.9,0.72,-1.0,1.0,-0.4,0.22,-0.4,0.22,0.0,0.46,-0.81,-0.03,-0.08,0.0,-0.04,-0.12,0.81,-0.82,0.86,-0.95
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.06,0.0,-0.27,-0.94,0.64,-1.0,1.0,-0.0,0.19,-0.23,0.0,0.56,0.57,-0.34,0.0,-0.06,-0.05,-0.15,0.0,0.83,-0.79,0.74,-0.89
2022-04-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.19,-0.26,-0.12,-0.93,-0.94,0.77,-1.0,1.0,-0.46,0.38,-0.45,0.4,-0.23,0.72,-0.74,0.0,-0.03,0.0,0.27,0.34,0.76,-0.9,0.87,-0.9
2022-04-13,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.13,-0.2,-0.04,-0.87,-0.83,0.74,-1.0,1.0,0.03,-0.31,0.01,-0.19,0.76,0.0,-0.67,-0.88,0.03,0.0,0.05,0.0,0.86,-0.92,0.91,-0.9
2022-04-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.26,0.0,-0.87,-0.86,0.62,-1.0,1.0,0.13,0.16,0.0,0.0,0.4,0.49,0.0,0.0,-0.07,0.0,0.05,0.0,0.64,-0.8,0.82,-0.81
2022-04-18,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.11,-0.07,0.0,-0.43,-0.84,0.74,-1.0,1.0,0.02,0.07,0.0,0.4,0.4,0.68,-0.46,-0.78,0.12,0.0,-0.02,0.0,0.8,-0.76,0.85,-0.86
2022-04-19,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06,-0.06,0.0,-0.39,-0.89,0.61,-1.0,1.0,-0.02,-0.17,0.03,-0.09,0.53,0.36,-0.42,-0.8,-0.02,0.0,-0.02,0.0,0.86,-0.83,0.89,-0.95
2022-04-20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.16,-0.08,-0.1,-0.28,-0.88,0.71,-1.0,1.0,-0.28,0.03,-0.28,0.03,0.0,0.72,-0.56,-0.65,-0.04,0.0,-0.01,0.0,0.64,-0.91,0.87,-0.89
2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.02,0.0,0.15,-0.93,0.75,-1.0,1.0,-0.12,0.04,0.0,0.15,0.1,0.88,-0.38,-0.73,0.04,0.0,0.03,0.0,0.82,-0.84,0.88,-0.85
2022-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.01,0.0,-0.19,-0.93,0.64,-1.0,1.0,-0.51,-0.13,-0.61,0.0,0.0,0.51,-0.86,-0.8,-0.04,0.0,-0.11,-0.18,0.77,-0.82,0.74,-0.9
2022-04-25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.13,-0.08,0.0,-0.7,-0.88,0.79,-1.0,1.0,0.1,-0.25,0.1,-0.25,0.2,0.08,0.0,-0.57,0.05,0.0,0.19,0.0,0.85,-0.8,0.91,-0.94
2022-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.12,-0.08,-0.75,-0.93,0.8,-1.0,1.0,-0.26,-0.11,-0.44,0.0,0.36,0.13,-0.8,-0.71,0.0,0.0,-0.03,0.0,0.84,-0.85,0.9,-0.89
2022-04-27,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.13,-0.16,0.0,-0.85,-0.89,0.65,-1.0,1.0,-0.32,-0.12,-0.36,-0.06,0.23,0.32,-0.79,-0.68,0.01,0.0,0.13,0.2,0.82,-0.86,0.86,-0.97
2022-04-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.18,-0.16,0.0,-0.78,-0.89,0.67,-1.0,1.0,-0.19,-0.11,0.0,0.0,0.0,0.0,-0.56,-0.32,-0.03,0.0,0.18,0.0,0.83,-0.88,0.86,-0.91
2022-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.03,0.0,0.04,-0.82,0.68,-1.0,1.0,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.42,-0.0,0.0,-0.1,0.0,0.8,-0.86,0.79,-0.89
2022-05-02,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-0.12,-0.02,0.0,-0.01,-0.87,0.8,-1.0,1.0,-0.19,-0.11,-0.17,-0.14,0.0,0.56,-0.44,-0.49,-0.08,-0.06,0.0,0.0,0.67,-0.84,0.95,-0.89
2022-05-03,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.12,0.13,0.0,0.68,-0.83,0.65,-1.0,1.0,0.06,0.31,0.0,0.35,0.56,0.78,-0.32,0.0,-0.04,0.0,0.2,0.34,0.86,-0.84,0.78,-0.87
2022-05-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.11,0.07,0.0,0.56,-0.9,0.71,-1.0,1.0,0.29,0.05,0.29,0.0,0.57,0.61,0.0,-0.4,0.01,0.0,0.15,0.0,0.65,-0.82,0.94,-0.86
2022-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.03,-0.03,0.32,-0.94,0.8,-1.0,1.0,-0.23,-0.46,-0.09,-0.63,0.08,0.3,-0.82,-0.87,0.03,0.0,0.09,0.0,0.77,-0.92,0.92,-0.96
2022-05-06,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.17,0.04,-0.1,0.21,-0.93,0.91,-1.0,1.0,-0.31,-0.21,-0.23,0.0,0.0,0.13,-0.85,-0.78,0.07,0.0,-0.01,0.0,0.84,-0.81,0.86,-0.89
2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09,0.03,0.0,0.28,-0.93,0.57,-1.0,1.0,-0.31,0.02,-0.53,0.21,0.56,0.69,-0.73,-0.77,0.05,0.0,0.02,0.0,0.8,-0.9,0.95,-0.95
2022-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.15,-0.12,-0.82,-0.8,0.92,-1.0,1.0,0.16,0.01,0.0,0.1,0.57,0.57,0.0,-0.46,0.0,0.0,0.06,0.0,0.79,-0.8,0.89,-0.84
2022-05-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.02,-0.1,0.37,-0.92,0.85,-1.0,1.0,-0.04,0.04,0.0,0.0,0.32,0.72,-0.54,-0.49,0.01,0.0,0.13,0.0,0.88,-0.8,0.88,-0.9
2022-05-12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.06,0.12,0.0,0.59,-0.86,0.85,-1.0,1.0,0.26,-0.47,0.38,-0.38,0.4,-0.36,0.0,-0.67,-0.04,0.0,-0.0,0.0,0.81,-0.8,0.83,-0.86
2022-05-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.13,-0.0,0.0,-0.22,-0.82,0.79,-1.0,1.0,-0.62,0.54,-0.62,0.54,-0.62,0.54,-0.62,0.54,0.06,0.0,0.07,0.0,0.69,-0.9,0.91,-0.89
2022-05-16,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.18,-0.05,-0.15,-0.44,-0.91,0.78,-1.0,1.0,-0.11,0.66,-0.11,0.66,-0.11,0.66,-0.11,0.66,-0.06,0.0,0.06,0.0,0.76,-0.93,0.91,-0.95
2022-05-17,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.24,-0.04,-0.24,-0.09,-0.92,0.71,-1.0,1.0,-0.25,0.12,0.0,-0.13,0.0,0.67,-0.74,-0.18,-0.08,0.0,0.02,0.03,0.84,-0.88,0.93,-0.89
2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.09,-0.15,-0.37,-0.91,0.73,-1.0,1.0,0.3,0.25,0.3,0.25,0.3,0.25,0.3,0.25,-0.1,0.0,-0.06,0.0,0.81,-0.89,0.85,-0.91
2022-05-19,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.16,-0.19,0.0,-0.82,-0.93,0.82,-1.0,1.0,0.0,0.51,0.0,0.51,0.0,0.51,0.0,0.51,-0.07,0.0,-0.0,0.0,0.72,-0.82,0.85,-0.92
2022-05-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.01,0.0,0.2,-0.88,0.84,-1.0,1.0,-0.84,0.44,-0.84,0.44,-0.84,0.44,-0.84,0.44,-0.06,0.0,0.05,0.0,0.82,-0.94,0.81,-0.93
2022-05-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.13,-0.03,0.0,-0.36,-0.88,0.74,-1.0,1.0,-0.2,-0.02,0.0,0.0,0.0,0.39,-0.61,-0.46,-0.0,0.0,-0.03,0.0,0.64,-0.92,0.91,-0.92
2022-05-24,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.19,-0.14,0.0,-0.74,-0.88,0.8,-1.0,1.0,0.35,0.21,0.3,0.48,0.74,0.64,0.0,-0.48,-0.09,0.0,0.08,0.0,0.79,-0.87,0.93,-0.88
2022-05-25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.15,-0.07,0.0,-0.39,-0.89,0.89,-1.0,1.0,0.04,-0.04,0.04,-0.04,0.56,0.0,-0.48,-0.08,-0.06,0.0,0.2,0.32,0.76,-0.88,0.94,-0.94
2022-05-26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.12,-0.02,0.0,-0.08,-0.89,0.81,-1.0,1.0,-0.06,0.33,-0.03,0.42,0.0,0.49,-0.15,0.08,-0.07,0.0,0.02,0.0,0.85,-0.9,0.9,-0.9
2022-05-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.18,-0.06,-0.08,-0.33,-0.91,0.57,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,-0.2,-0.16,0.8,-0.9,0.86,-0.88
2022-05-31,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.11,0.0,0.77,-0.91,0.78,-1.0,1.0,-0.21,-0.3,-0.38,-0.27,0.4,0.23,-0.65,-0.85,0.02,0.0,-0.14,-0.3,0.83,-0.84,0.87,-0.87
2022-06-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.03,0.0,0.43,-0.9,0.68,-1.0,1.0,0.09,-0.07,0.09,-0.07,0.18,0.08,0.0,-0.23,-0.05,0.0,-0.05,0.0,0.81,-0.93,0.92,-0.97
2022-06-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.12,0.04,0.0,0.42,-0.85,0.74,-1.0,1.0,-0.04,-0.38,0.11,-0.47,0.3,0.2,-0.67,-0.79,0.04,0.0,0.02,0.0,0.79,-0.95,0.92,-0.93
2022-06-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.19,0.0,0.77,-0.91,0.8,-1.0,1.0,0.0,0.38,0.0,0.38,0.0,0.38,0.0,0.38,-0.04,0.0,-0.03,0.0,0.8,-0.93,0.88,-0.94
2022-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.12,0.11,0.0,0.6,-0.91,0.64,-1.0,1.0,-0.34,-0.67,-0.34,-0.67,-0.34,-0.67,-0.34,-0.67,-0.04,0.0,-0.15,0.0,0.81,-0.88,0.87,-0.89
2022-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.15,0.09,0.0,0.69,-0.91,0.85,-1.0,1.0,-0.74,-0.27,-0.74,-0.27,-0.71,-0.06,-0.78,-0.48,-0.03,0.0,0.02,0.0,0.7,-0.82,0.9,-0.85
2022-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.18,-0.18,-0.88,-0.86,0.64,-1.0,1.0,0.4,-0.18,0.4,-0.18,0.4,-0.18,0.4,-0.18,0.03,0.0,0.19,0.0,0.8,-0.9,0.97,-0.87
