Date,Headline Max,Headline Min,Body Max,Body Min
2022-03-13,0.836,-0.8625,0.9517,-0.8555
2022-03-14,0.8807,-0.7269,0.9136,-0.9559
2022-03-15,0.8402,-0.8591,0.875,-0.9136
2022-03-16,0.8555,-0.802,0.8807,-0.9038
2022-03-17,0.6124,-0.8402,0.8225,-0.891
2022-03-18,0.8271,-0.8176,0.8625,-0.9652
2022-03-19,0.8176,-0.9118,0.6908,-0.8658
2022-03-20,0.9081,-0.891,0.9274,-0.9201
2022-03-21,0.8316,-0.8689,0.9136,-0.9628
2022-03-22,0.8126,-0.836,0.875,-0.9741
2022-03-23,0.7906,-0.8271,0.9186,-0.8779
2022-03-24,0.8402,-0.8555,0.8779,-0.9442
2022-03-25,0.8271,-0.8074,0.9169,-0.91
2022-03-26,0.7783,-0.8225,0.8658,-0.8519
2022-03-27,0.6486,-0.8316,0.7968,-0.8968
2022-03-28,0.6369,-0.9403,0.8442,-0.93
2022-03-29,0.9042,-0.8271,0.9505,-0.8834
2022-03-30,0.8402,-0.8555,0.9349,-0.886
2022-03-31,0.6369,-0.8625,0.8957,-0.8957
2022-04-01,0.7906,-0.8316,0.93,-0.8625
2022-04-02,0.8402,-0.8225,0.8074,-0.8834
2022-04-03,0.5994,-0.6908,0.8748,-0.9108
2022-04-04,0.7184,-0.9274,0.9521,-0.8957
2022-04-05,0.7964,-0.8658,0.9052,-0.9501
2022-04-06,0.9349,-0.8481,0.9136,-0.91
2022-04-07,0.7845,-0.8689,0.891,-0.9595
2022-04-08,0.8126,-0.8225,0.8625,-0.9477
2022-04-09,0.7579,-0.8074,0.6705,-0.8979
2022-04-10,0.7906,-0.8519,0.886,-0.8519
2022-04-11,0.8316,-0.7906,0.743,-0.886
2022-04-12,0.7579,-0.9001,0.8658,-0.9022
2022-04-13,0.8555,-0.9217,0.9136,-0.9042
2022-04-14,0.6369,-0.8047,0.8225,-0.8074
2022-04-15,0.8225,-0.8625,0.9169,-0.9217
2022-04-16,0.7345,-0.8271,0.8381,-0.9081
2022-04-17,0.8316,-0.8402,0.7096,-0.9528
2022-04-18,0.802,-0.7579,0.8515,-0.8625
2022-04-19,0.8555,-0.8271,0.8934,-0.9517
2022-04-20,0.6369,-0.9062,0.8689,-0.8898
2022-04-21,0.8176,-0.8402,0.875,-0.8481
2022-04-22,0.7717,-0.8225,0.7351,-0.9022
2022-04-23,0.8316,-0.8481,0.743,-0.8225
2022-04-24,0.6369,-0.8442,0.8555,-0.9246
2022-04-25,0.8519,-0.7964,0.9136,-0.9366
2022-04-26,0.8442,-0.8519,0.9001,-0.886
2022-04-27,0.8176,-0.8591,0.8591,-0.9686
2022-04-28,0.8316,-0.8834,0.8625,-0.9081
2022-04-29,0.7964,-0.8625,0.7916,-0.8873
2022-04-30,0.6705,-0.8442,0.8074,-0.9325
2022-05-01,0.6908,-0.8442,0.7906,-0.9246
2022-05-02,0.6705,-0.836,0.9521,-0.891
2022-05-03,0.8555,-0.8402,0.7845,-0.8679
2022-05-04,0.6486,-0.8225,0.936,-0.8625
2022-05-05,0.7717,-0.9169,0.9169,-0.9559
2022-05-06,0.8402,-0.807,0.8625,-0.8934
2022-05-07,0.8176,-0.8225,0.7845,-0.8658
2022-05-08,0.886,-0.886,0.8591,-0.8625
2022-05-09,0.7964,-0.9042,0.9477,-0.9529
2022-05-10,0.7906,-0.802,0.891,-0.8402
2022-05-11,0.875,-0.802,0.8778,-0.9022
2022-05-12,0.8126,-0.802,0.8271,-0.8555
2022-05-13,0.6908,-0.8979,0.9081,-0.891
2022-05-14,0.802,-0.8176,0.836,-0.9371
2022-05-15,0.7269,-0.9393,0.8957,-0.8271
2022-05-16,0.765,-0.9349,0.9062,-0.9524
2022-05-17,0.8442,-0.875,0.9274,-0.8934
2022-05-18,0.8126,-0.8934,0.8481,-0.91
2022-05-19,0.7184,-0.8225,0.8481,-0.9186
2022-05-20,0.8225,-0.9432,0.8059,-0.9337
2022-05-21,0.5719,-0.8176,0.7579,-0.9201
2022-05-22,0.9022,-0.8519,0.7717,-0.9413
2022-05-23,0.6369,-0.9169,0.9052,-0.9243
2022-05-24,0.7906,-0.8658,0.93,-0.8834
2022-05-25,0.7579,-0.875,0.9393,-0.9403
2022-05-26,0.8519,-0.9042,0.8957,-0.9042
2022-05-27,0.8019,-0.9042,0.8555,-0.8834
2022-05-28,0.7351,-0.9042,0.8467,-0.9281
2022-05-29,0.5267,-0.7783,0.7096,-0.8442
2022-05-30,0.7003,-0.9287,0.802,-0.91
2022-05-31,0.8316,-0.836,0.872,-0.873
2022-06-01,0.8126,-0.9274,0.9169,-0.9674
2022-06-02,0.7906,-0.9451,0.9186,-0.9313
2022-06-03,0.7964,-0.93,0.8834,-0.9403
2022-06-04,0.6369,-0.8555,0.8555,-0.8689
2022-06-05,0.7579,-0.891,0.8211,-0.8442
2022-06-06,0.8126,-0.8779,0.8658,-0.8934
2022-06-07,0.7003,-0.8225,0.9035,-0.8481
2022-06-08,0.8555,-0.8481,0.8519,-0.9324
2022-06-09,0.7964,-0.8979,0.9698,-0.8689
2022-06-10,0.7845,-0.9403,0.8519,-0.9449
2022-06-11,0.8074,-0.7579,0.9545,-0.9186
2022-06-12,0.765,-0.8271,0.9153,-0.7579
2022-06-13,0.8957,-0.886,0.9855,-0.9186
2022-06-14,0.8979,-0.765,0.8793,-0.9349
2022-06-15,0.8658,-0.8481,0.8831,-0.9559
2022-06-16,0.6597,-0.91,0.9062,-0.93
2022-06-17,0.7717,-0.8934,0.911,-0.8779
2022-06-18,0.6705,-0.8591,0.8481,-0.8957
2022-06-19,0.6124,-0.8979,0.9201,-0.9062
2022-06-20,0.6647,-0.9118,0.8952,-0.8571
2022-06-21,0.7506,-0.8402,0.9118,-0.9413
2022-06-22,0.7906,-0.9001,0.9011,-0.9643
2022-06-23,0.8402,-0.802,0.8807,-0.9306
2022-06-24,0.8807,-0.8225,0.8316,-0.91
2022-06-25,0.743,-0.7579,0.8363,-0.886
2022-06-26,0.7717,-0.8271,0.8793,-0.872
2022-06-27,0.7284,-0.91,0.8689,-0.8689
2022-06-28,0.8622,-0.9217,0.9413,-0.9371
2022-06-29,0.8442,-0.886,0.9062,-0.8834
2022-06-30,0.7906,-0.875,0.8271,-0.8625
2022-07-01,0.8957,-0.802,0.8885,-0.9022
2022-07-02,0.6597,-0.8689,0.9489,-0.926
2022-07-03,0.7964,-0.7964,0.8957,-0.8979
2022-07-04,0.7579,-0.8126,0.8807,-0.9022
2022-07-05,0.8519,-0.8979,0.9393,-0.9509
2022-07-06,0.9022,-0.8807,0.9413,-0.9153
2022-07-07,0.891,-0.8481,0.8807,-0.9169
2022-07-08,0.802,-0.8834,0.8847,-0.8968
2022-07-09,0.8442,-0.9081,0.7906,-0.9062
2022-07-10,0.7269,-0.765,0.8126,-0.9269
2022-07-11,0.7269,-0.8519,0.886,-0.926
2022-07-12,0.7717,-0.8316,0.9413,-0.9628
2022-07-13,0.7184,-0.875,0.8555,-0.9001
2022-07-14,0.7964,-0.836,0.9001,-0.9231
2022-07-15,0.872,-0.8658,0.8625,-0.9017
2022-07-16,0.755,-0.765,0.886,-0.8555
2022-07-17,0.7506,-0.886,0.891,-0.9136
2022-07-18,0.7906,-0.8979,0.9274,-0.9531
2022-07-19,0.7351,-0.7579,0.9413,-0.9042
2022-07-20,0.7964,-0.882,0.8957,-0.8658
2022-07-21,0.7783,-0.8519,0.836,-0.9042
2022-07-22,0.8481,-0.9231,0.8885,-0.9153
2022-07-23,0.7964,-0.8126,0.8271,-0.926
2022-07-24,0.7783,-0.7506,0.8934,-0.8979
2022-07-25,0.891,-0.875,0.8608,-0.9337
2022-07-26,0.8442,-0.9001,0.9413,-0.8481
2022-07-27,0.7074,-0.9371,0.8316,-0.9371
2022-07-28,0.7003,-0.8402,0.9122,-0.886
2022-07-29,0.8126,-0.9382,0.8608,-0.9366
2022-07-30,0.7964,-0.9393,0.6597,-0.9735
2022-07-31,0.4767,-0.7845,0.802,-0.8979
2022-08-01,0.7906,-0.875,0.8689,-0.9705
2022-08-02,0.7003,-0.7964,0.9413,-0.9109
2022-08-03,0.7906,-0.9153,0.9022,-0.875
2022-08-04,0.7096,-0.8625,0.8599,-0.8481
2022-08-05,0.8555,-0.9022,0.8268,-0.926
2022-08-06,0.8225,-0.8176,0.802,-0.9201
2022-08-07,0.7399,-0.836,0.8591,-0.8537
2022-08-08,0.5994,-0.8271,0.802,-0.9501
2022-08-09,0.7717,-0.8591,0.9413,-0.9062
2022-08-10,0.8074,-0.8885,0.8705,-0.9169
2022-08-11,0.7003,-0.8957,0.8834,-0.9552
2022-08-12,0.7906,-0.8402,0.9325,-0.8885
2022-08-13,0.5267,-0.8176,0.8885,-0.9638
2022-08-14,0.765,-0.8442,0.802,-0.9349
2022-08-15,0.8481,-0.9001,0.875,-0.9349
2022-08-16,0.8225,-0.8481,0.9231,-0.8934
2022-08-17,0.5719,-0.8126,0.8481,-0.9217
2022-08-18,0.8779,-0.8591,0.9153,-0.9685
2022-08-19,0.7906,-0.6705,0.8591,-0.8176
2022-08-20,0.8709,-0.872,0.8957,-0.8625
2022-08-21,0.6369,-0.8126,0.8201,-0.8957
2022-08-22,0.5859,-0.8225,0.8873,-0.9517
2022-08-23,0.8271,-0.8481,0.9231,-0.8689
2022-08-24,0.8625,-0.8481,0.8979,-0.9382
2022-08-25,0.7003,-0.7845,0.9423,-0.9201
2022-08-26,0.7096,-0.743,0.9042,-0.8316
2022-08-27,0.6908,-0.8271,0.8481,-0.886
2022-08-28,0.6369,-0.9001,0.7845,-0.9287
2022-08-29,0.7845,-0.8481,0.886,-0.9052
2022-08-30,0.8555,-0.9186,0.8591,-0.8807
2022-08-31,0.7269,-0.8074,0.872,-0.8342
2022-09-01,0.7964,-0.8591,0.8658,-0.8555
2022-09-02,0.8934,-0.8176,0.7906,-0.8957
2022-09-03,0.6369,-0.8225,0.836,-0.9403
2022-09-04,0.5719,-0.7964,0.8402,-0.8957
2022-09-05,0.7184,-0.9186,0.8042,-0.9022
2022-09-06,0.7964,-0.8555,0.8316,-0.9313
2022-09-07,0.6486,-0.8625,0.8399,-0.9313
2022-09-08,0.7506,-0.9022,0.9201,-0.9253
2022-09-09,0.8126,-0.7964,0.8548,-0.9118
2022-09-10,0.9423,-0.7964,0.872,-0.8519
2022-09-11,0.7655,-0.8779,0.8957,-0.7906
2022-09-12,0.7506,-0.8965,0.8885,-0.8934
2022-09-13,0.8979,-0.8689,0.946,-0.8885
